wc,vc
1,1
2,2
3,3
4,4
5,5
6,6
7,7
8,8
9,9
10,10
11,11
12,12
13,13
16,14
17,15
18,16
23,17
27,18
32,19
37,20
39,21
41,22
42,23
43,24
44,25
49,26
50,27
51,28
52,29
53,30
54,31
56,32
57,33
58,34
60,35
61,36
62,37
63,38
64,39
65,40
66,41
68,42
69,43
70,44
72,45
73,46
75,47
76,48
77,49
78,50
79,51
81,52
82,53
83,54
84,55
85,56
86,57
88,58
89,59
94,60
95,61
97,62
98,63
99,64
100,65
101,66
105,67
110,68
113,69
114,70
115,71
116,72
117,73
118,74
119,75
120,76
121,77
122,78
123,79
124,80
125,81
127,82
128,83
129,84
130,85
131,86
132,87
133,88
134,89
135,90
136,91
139,92
140,93
141,94
142,95
145,96
147,97
148,98
149,99
150,100
151,101
153,102
159,103
160,104
161,105
162,106
163,107
164,108
165,109
167,110
168,111
169,112
170,113
172,114
174,115
175,116
176,117
178,118
180,119
184,120
186,121
189,122
190,123
191,124
192,125
194,126
196,127
197,128
198,129
201,130
202,131
203,132
205,133
206,134
207,135
209,136
210,137
211,138
212,139
213,140
215,141
216,142
217,143
218,144
220,145
221,146
224,147
226,148
227,149
229,150
232,151
233,152
239,153
240,154
241,155
243,156
244,157
245,158
249,159
252,160
263,161
265,162
266,163
272,164
273,165
274,166
275,167
276,168
277,169
278,170
279,171
280,172
283,173
284,174
287,175
288,176
289,177
290,178
292,179
293,180
294,181
295,182
296,183
297,184
298,185
300,186
301,187
303,188
305,189
306,190
307,191
308,192
309,193
310,194
312,195
313,196
316,197
317,198
319,199
323,200
325,201
327,202
329,203
331,204
332,205
333,206
334,207
335,208
337,209
340,210
342,211
344,212
348,213
354,214
356,215
358,216
360,217
362,218
363,219
365,220
366,221
368,222
372,223
374,224
376,225
378,226
380,227
382,228
384,229
385,230
387,231
389,232
390,233
391,234
392,235
398,236
401,237
402,238
403,239
404,240
407,241
408,242
412,243
425,244
431,245
434,246
437,247
448,248
452,249
453,250
454,251
455,252
456,253
457,254
458,255
459,256
460,257
461,258
462,259
463,260
464,261
465,262
466,263
467,264
468,265
470,266
471,267
472,268
473,269
474,270
476,271
479,272
480,273
482,274
483,275
484,276
485,277
486,278
487,279
488,280
489,281
490,282
493,283
494,284
495,285
497,286
502,287
503,288
504,289
506,290
507,291
509,292
511,293
516,294
517,295
519,296
520,297
522,298
525,299
526,300
527,301
528,302
529,303
530,304
532,305
533,306
536,307
537,308
540,309
541,310
542,311
544,312
545,313
547,314
548,315
550,316
551,317
552,318
553,319
556,320
557,321
558,322
592,323
593,324
594,325
595,326
596,327
597,328
599,329
600,330
601,331
602,332
603,333
604,334
605,335
606,336
607,337
608,338
609,339
610,340
611,341
612,342
615,343
618,344
619,345
622,346
623,347
625,348
626,349
628,350
629,351
630,352
631,353
632,354
635,355
638,356
641,357
642,358
643,359
645,360
652,361
653,362
654,363
655,364
657,365
658,366
669,367
670,368
676,369
677,370
678,371
679,372
680,373
682,374
685,375
687,376
688,377
692,378
694,379
696,380
698,381
704,382
706,383
709,384
713,385
715,386
717,387
722,388
728,389
737,390
738,391
739,392
744,393
745,394
746,395
748,396
749,397
750,398
751,399
752,400
754,401
756,402
758,403
759,404
761,405
762,406
763,407
764,408
765,409
771,410
774,411
775,412
777,413
778,414
780,415
781,416
782,417
783,418
784,419
791,420
794,421
795,422
796,423
798,424
799,425
801,426
802,427
806,428
811,429
813,430
814,431
817,432
818,433
821,434
823,435
825,436
828,437
832,438
835,439
838,440
845,441
846,442
850,443
853,444
856,445
859,446
863,447
866,448
869,449
873,450
877,451
882,452
893,453
896,454
899,455
902,456
905,457
908,458
911,459
912,460
914,461
917,462
919,463
922,464
925,465
928,466
931,467
934,468
937,469
942,470
945,471
948,472
950,473
953,474
957,475
958,476
961,477
964,478
967,479
970,480
973,481
976,482
980,483
983,484
986,485
987,486
989,487
991,488
994,489
997,490
1000,491
1002,492
1003,493
1007,494
1010,495
1016,496
1030,497
1031,498
1034,499
1035,500
1036,501
1039,502
1069,503
1070,504
1071,505
1077,506
1078,507
1079,508
1080,509
1085,510
1093,511
1094,512
1095,513
1097,514
1139,515
1140,516
1175,517
1176,518
1177,519
1178,520
1181,521
1183,522
1184,523
1187,524
1188,525
1189,526
1190,527
1191,528
1194,529
1195,530
1196,531
1197,532
1198,533
1199,534
1200,535
1203,536
1204,537
1207,538
1208,539
1209,540
1212,541
1218,542
1220,543
1221,544
1224,545
1225,546
1226,547
1228,548
1231,549
