wc,vc
1,1
2,2
3,3
4,4
5,5
6,6
7,7
8,8
9,9
10,10
11,11
12,12
15,13
16,14
17,15
22,16
26,17
30,18
37,19
38,20
39,21
40,22
41,23
42,24
43,25
44,26
45,27
46,28
52,29
53,30
54,31
55,32
56,33
57,34
59,35
60,36
61,37
62,38
63,39
64,40
65,41
66,42
67,43
68,44
70,45
71,46
72,47
73,48
74,49
77,50
78,51
80,52
81,53
83,54
84,55
85,56
86,57
87,58
88,59
89,60
93,61
98,62
100,63
101,64
102,65
103,66
105,67
107,68
108,69
109,70
110,71
112,72
113,73
114,74
116,75
117,76
124,77
125,78
127,79
129,80
130,81
135,82
136,83
137,84
139,85
140,86
142,87
145,88
147,89
148,90
149,91
150,92
151,93
153,94
156,95
157,96
158,97
159,98
162,99
163,100
164,101
165,102
166,103
167,104
170,105
171,106
172,107
174,108
175,109
178,110
180,111
181,112
182,113
183,114
184,115
185,116
187,117
188,118
191,119
192,120
193,121
194,122
196,123
197,124
198,125
199,126
201,127
202,128
203,129
209,130
210,131
211,132
213,133
214,134
215,135
216,136
217,137
218,138
219,139
220,140
221,141
222,142
223,143
224,144
225,145
226,146
227,147
228,148
229,149
230,150
231,151
232,152
234,153
235,154
236,155
237,156
238,157
240,158
243,159
244,160
246,161
248,162
249,163
250,164
252,165
254,166
257,167
258,168
259,169
260,170
261,171
265,172
267,173
268,174
269,175
271,176
272,177
274,178
277,179
278,180
279,181
280,182
281,183
282,184
284,185
287,186
288,187
291,188
292,189
293,190
295,191
296,192
297,193
298,194
299,195
302,196
303,197
336,198
337,199
340,200
341,201
343,202
344,203
345,204
346,205
350,206
351,207
352,208
355,209
357,210
358,211
359,212
360,213
362,214
363,215
364,216
365,217
366,218
367,219
368,220
369,221
370,222
373,223
375,224
379,225
380,226
383,227
386,228
421,229
422,230
428,231
429,232
436,233
438,234
474,235
475,236
476,237
477,238
518,239
519,240
521,241
522,242
523,243
524,244
525,245
526,246
527,247
528,248
529,249
530,250
531,251
532,252
534,253
535,254
536,255
537,256
539,257
540,258
541,259
542,260
544,261
545,262
546,263
547,264
548,265
549,266
550,267
551,268
557,269
559,270
560,271
561,272
562,273
566,274
568,275
572,276
574,277
580,278
582,279
583,280
584,281
585,282
587,283
593,284
594,285
596,286
598,287
601,288
602,289
608,290
610,291
611,292
621,293
622,294
623,295
624,296
625,297
626,298
628,299
632,300
634,301
635,302
637,303
638,304
639,305
646,306
647,307
649,308
651,309
652,310
654,311
655,312
660,313
661,314
662,315
665,316
667,317
668,318
669,319
672,320
674,321
675,322
676,323
678,324
679,325
686,326
687,327
690,328
696,329
705,330
706,331
707,332
709,333
713,334
718,335
719,336
721,337
722,338
723,339
724,340
728,341
730,342
731,343
732,344
741,345
752,346
755,347
763,348
769,349
770,350
787,351
804,352
815,353
816,354
826,355
831,356
832,357
837,358
838,359
839,360
840,361
844,362
845,363
847,364
849,365
850,366
853,367
854,368
855,369
857,370
858,371
863,372
864,373
865,374
866,375
867,376
868,377
869,378
870,379
871,380
873,381
874,382
875,383
876,384
877,385
878,386
879,387
880,388
881,389
882,390
883,391
884,392
885,393
886,394
887,395
888,396
889,397
890,398
891,399
892,400
893,401
894,402
895,403
897,404
898,405
900,406
901,407
903,408
905,409
913,410
957,411
958,412
964,413
965,414
966,415
967,416
971,417
978,418
979,419
980,420
981,421
982,422
983,423
984,424
985,425
986,426
987,427
988,428
989,429
990,430
991,431
992,432
993,433
994,434
995,435
996,436
997,437
998,438
999,439
1000,440
1001,441
1002,442
1003,443
1004,444
1005,445
1006,446
1007,447
1008,448
1009,449
1010,450
1012,451
1014,452
1053,453
1054,454
1089,455
1092,456
1093,457
1096,458
1097,459
1179,460
1180,461
1181,462
1187,463
1194,464
1195,465
1197,466
1199,467
1235,468
1268,469
1270,470
1271,471
1273,472
1276,473
1278,474
1279,475
1281,476
1282,477
1283,478
1284,479
1286,480
1287,481
1291,482
1292,483
1297,484
1299,485
1300,486
1303,487
1304,488
1305,489
1307,490
1308,491
1309,492
1310,493
1311,494
1312,495
1316,496
1317,497
1318,498
1319,499
1320,500
1321,501
1322,502
1323,503
1324,504
1325,505
1326,506
1329,507
1330,508
1331,509
1332,510
1336,511
1340,512
1341,513
1343,514
1345,515
1346,516
1347,517
1348,518
1349,519
1350,520
1353,521
1354,522
1358,523
1360,524
1363,525
1365,526
1368,527
1369,528
1370,529
1374,530
1375,531
1377,532
1378,533
1379,534
1380,535
1381,536
1383,537
1384,538
1385,539
