wc,vc
1,1
2,2
3,3
4,4
5,5
6,6
7,7
8,8
9,9
10,10
11,11
14,12
15,13
16,14
21,15
25,16
28,17
35,18
36,19
37,20
38,21
39,22
40,23
41,24
42,25
44,26
45,27
46,28
47,29
48,30
49,31
50,32
51,33
52,34
53,35
54,36
55,37
56,38
57,39
58,40
59,41
60,42
61,43
62,44
63,45
64,46
65,47
66,48
67,49
68,50
69,51
70,52
71,53
73,54
74,55
75,56
76,57
78,58
79,59
81,60
82,61
83,62
84,63
85,64
86,65
87,66
88,67
89,68
91,69
92,70
93,71
103,72
104,73
105,74
106,75
108,76
110,77
112,78
113,79
115,80
116,81
117,82
118,83
119,84
120,85
121,86
122,87
124,88
125,89
126,90
127,91
128,92
130,93
131,94
133,95
134,96
136,97
137,98
138,99
139,100
141,101
142,102
145,103
146,104
147,105
149,106
150,107
151,108
152,109
154,110
155,111
156,112
159,113
160,114
161,115
162,116
163,117
165,118
167,119
168,120
169,121
171,122
175,123
181,124
183,125
186,126
188,127
189,128
196,129
199,130
200,131
201,132
202,133
203,134
205,135
206,136
207,137
208,138
211,139
212,140
215,141
217,142
218,143
220,144
221,145
222,146
224,147
225,148
226,149
227,150
228,151
233,152
234,153
235,154
236,155
237,156
239,157
241,158
242,159
243,160
244,161
247,162
249,163
251,164
255,165
257,166
260,167
261,168
263,169
264,170
265,171
266,172
268,173
270,174
274,175
275,176
276,177
279,178
282,179
284,180
285,181
287,182
288,183
290,184
291,185
298,186
300,187
302,188
305,189
307,190
309,191
311,192
312,193
313,194
314,195
317,196
318,197
322,198
323,199
324,200
329,201
333,202
334,203
336,204
337,205
339,206
340,207
341,208
342,209
343,210
344,211
345,212
346,213
347,214
348,215
349,216
351,217
353,218
354,219
355,220
356,221
357,222
358,223
360,224
361,225
362,226
363,227
364,228
367,229
368,230
370,231
375,232
376,233
377,234
378,235
384,236
385,237
386,238
387,239
388,240
389,241
392,242
393,243
396,244
397,245
398,246
400,247
403,248
406,249
407,250
413,251
415,252
417,253
421,254
422,255
424,256
425,257
426,258
429,259
430,260
431,261
435,262
436,263
439,264
440,265
441,266
442,267
444,268
445,269
449,270
451,271
452,272
453,273
457,274
460,275
463,276
464,277
465,278
466,279
468,280
469,281
471,282
472,283
473,284
474,285
478,286
482,287
491,288
493,289
495,290
503,291
504,292
506,293
520,294
522,295
523,296
524,297
526,298
529,299
532,300
538,301
539,302
541,303
542,304
549,305
555,306
557,307
568,308
574,309
575,310
576,311
577,312
578,313
581,314
584,315
587,316
588,317
589,318
593,319
594,320
596,321
605,322
616,323
617,324
618,325
621,326
622,327
623,328
624,329
628,330
629,331
632,332
633,333
642,334
643,335
644,336
645,337
647,338
650,339
651,340
652,341
654,342
657,343
658,344
659,345
662,346
663,347
665,348
666,349
668,350
669,351
672,352
673,353
676,354
677,355
681,356
682,357
687,358
688,359
691,360
693,361
696,362
697,363
701,364
702,365
705,366
707,367
709,368
710,369
715,370
716,371
717,372
719,373
721,374
722,375
725,376
726,377
728,378
730,379
731,380
733,381
738,382
739,383
741,384
742,385
743,386
745,387
746,388
747,389
749,390
752,391
753,392
756,393
763,394
764,395
766,396
770,397
771,398
772,399
774,400
780,401
781,402
782,403
783,404
785,405
789,406
791,407
792,408
797,409
798,410
799,411
800,412
801,413
803,414
804,415
808,416
809,417
813,418
815,419
826,420
832,421
834,422
839,423
841,424
846,425
852,426
854,427
855,428
859,429
862,430
865,431
866,432
867,433
874,434
877,435
878,436
880,437
892,438
893,439
895,440
897,441
901,442
903,443
906,444
909,445
910,446
913,447
914,448
916,449
918,450
921,451
922,452
923,453
925,454
926,455
931,456
935,457
937,458
940,459
944,460
947,461
948,462
949,463
950,464
952,465
953,466
954,467
955,468
956,469
958,470
959,471
964,472
966,473
968,474
970,475
971,476
972,477
978,478
979,479
982,480
983,481
990,482
991,483
996,484
997,485
998,486
999,487
1000,488
1004,489
1005,490
1006,491
1008,492
1009,493
1013,494
1014,495
1016,496
1018,497
1019,498
1023,499
1026,500
1027,501
1031,502
1036,503
1039,504
1041,505
1045,506
1046,507
1047,508
1048,509
1054,510
1057,511
1059,512
1060,513
1074,514
1078,515
1079,516
1083,517
1084,518
1086,519
1087,520
1089,521
1090,522
1094,523
1101,524
1108,525
1113,526
1115,527
1119,528
1120,529
1127,530
1128,531
1130,532
1131,533
1132,534
1135,535
1143,536
1148,537
1150,538
1153,539
1154,540
1160,541
1162,542
1167,543
1168,544
1169,545
1170,546
1171,547
1172,548
1174,549
