a,a,aed 0.008
aa,aa,aas 0.000
aaa,aaa,aaas 0.038
aac,aac,aace 0.000
aafc,aafc,aafce 0.000
aag,aag,aage 0.000
aaliyah,aaliyah,aaliyahs 0.500
aam,aam,aams 0.000
aar,aar,aare 0.000
aau,aau,aaus 0.000
ab,ab,abs 0.000
aba,aba,abas 0.200
abad,abad,abadal 0.000
abandon,abandon,abandoned 0.762
abandon,abandon,abandoning 0.750
abandon,abandon,abandonment 0.759
abandon,abandon,abandonou 0.750
abandon,abandoned,abandoning 0.757
abandon,abandoned,abandonment 0.757
abandon,abandoned,abandonou 0.750
abandon,abandoning,abandonment 0.750
abandon,abandoning,abandonou 0.750
abandon,abandonment,abandonou 0.750
abaqa,abaqa,abaqas 0.333
abb,abb,abbe 0.500
abb,abb,abbs 0.500
abb,abbe,abbs 0.500
abba,abba,abbas 0.000
abbasid,abbasid,abbasids 0.000
abbess,abbess,abbesses 0.000
abbey,abbey,abbeys 0.087
abbi,abbi,abbie 0.667
abbi,abbi,abby 0.667
abbi,abbi,abbys 0.667
abbi,abbie,abby 0.667
abbi,abbie,abbys 0.667
abbi,abby,abbys 0.722
abbot,abbot,abbots 0.083
abbott,abbott,abbotts 0.000
abbrevi,abbreviated,abbreviation 0.500
abbrevi,abbreviated,abbreviations 0.516
abbrevi,abbreviation,abbreviations 0.534
abc,abc,abce 0.507
abc,abc,abcs 0.521
abc,abce,abcs 0.500
abdic,abdicate,abdicating 0.500
abdic,abdicate,abdication 0.500
abdic,abdicating,abdication 0.500
abduct,abduct,abducted 0.667
abduct,abduct,abduction 0.667
abduct,abduct,abductions 0.667
abduct,abducted,abduction 0.702
abduct,abducted,abductions 0.727
abduct,abduction,abductions 0.722
abducte,abductee,abductees 0.000
abductor,abductor,abductors 0.000
abdul,abdul,abdull 0.000
abe,abe,abed 0.000
abel,abel,abeles 0.500
abel,abel,abell 0.500
abel,abeles,abell 0.500
abercrombi,abercrombie,abercrombies 0.500
abercrombi,abercrombie,abercromby 0.545
abercrombi,abercrombies,abercromby 0.500
abern,abern,abernant 0.000
aberr,aberration,aberrations 0.250
abid,abid,abide 0.500
abid,abid,abiding 0.500
abid,abide,abiding 0.500
abil,abilities,ability 0.112
abjad,abjad,abjads 0.333
abl,abl,able 0.667
abl,abl,abled 0.667
abl,abl,ables 0.667
