a,a,aed 0.008
aaa,aaa,aaas 0.038
aaliyah,aaliyah,aaliyahs 0.500
aba,aba,abas 0.200
abandon,abandon,abandoned 0.762
abandon,abandon,abandoning 0.750
abandon,abandon,abandonment 0.759
abandon,abandon,abandonou 0.750
abandon,abandoned,abandoning 0.757
abandon,abandoned,abandonment 0.757
abandon,abandoned,abandonou 0.750
abandon,abandoning,abandonment 0.750
abandon,abandoning,abandonou 0.750
abandon,abandonment,abandonou 0.750
abaqa,abaqa,abaqas 0.333
abb,abb,abbe 0.500
abb,abb,abbs 0.500
abb,abbe,abbs 0.500
abbey,abbey,abbeys 0.087
abbi,abbi,abbie 0.667
abbi,abbi,abby 0.667
abbi,abbi,abbys 0.667
abbi,abbie,abby 0.667
abbi,abbie,abbys 0.667
abbi,abby,abbys 0.722
abbot,abbot,abbots 0.083
abbrevi,abbreviated,abbreviation 0.500
abbrevi,abbreviated,abbreviations 0.516
abbrevi,abbreviation,abbreviations 0.534
abc,abc,abce 0.507
abc,abc,abcs 0.521
abc,abce,abcs 0.500
abdic,abdicate,abdicating 0.500
abdic,abdicate,abdication 0.500
abdic,abdicating,abdication 0.500
abduct,abduct,abducted 0.667
abduct,abduct,abduction 0.667
abduct,abduct,abductions 0.667
abduct,abducted,abduction 0.702
abduct,abducted,abductions 0.727
abduct,abduction,abductions 0.722
abel,abel,abeles 0.500
abel,abel,abell 0.500
abel,abeles,abell 0.500
abercrombi,abercrombie,abercrombies 0.500
abercrombi,abercrombie,abercromby 0.545
abercrombi,abercrombies,abercromby 0.500
aberr,aberration,aberrations 0.250
abid,abid,abide 0.500
abid,abid,abiding 0.500
abid,abide,abiding 0.500
abil,abilities,ability 0.112
abjad,abjad,abjads 0.333
abl,abl,able 0.667
abl,abl,abled 0.667
abl,abl,ables 0.667
abl,able,abled 0.667
abl,able,ables 0.668
abl,abled,ables 0.667
abnorm,abnormal,abnormalities 0.667
abnorm,abnormal,abnormality 0.667
abnorm,abnormal,abnormally 0.667
abnorm,abnormalities,abnormality 0.667
abnorm,abnormalities,abnormally 0.667
abnorm,abnormality,abnormally 0.667
abolish,abolish,abolished 0.667
abolish,abolish,abolishes 0.667
abolish,abolish,abolishing 0.667
abolish,abolished,abolishes 0.667
abolish,abolished,abolishing 0.667
abolish,abolishes,abolishing 0.667
abomin,abominable,abomination 0.500
abomin,abominable,abominations 0.500
abomin,abomination,abominations 0.600
aborigin,aboriginal,aborigines 0.091
abort,abort,aborted 0.750
abort,abort,abortion 0.767
abort,abort,abortions 0.750
abort,abort,abortive 0.750
abort,aborted,abortion 0.750
abort,aborted,abortions 0.750
abort,aborted,abortive 0.750
abort,abortion,abortions 0.750
abort,abortion,abortive 0.750
abort,abortions,abortive 0.750
abound,abound,abounded 0.500
abound,abound,abounds 0.500
abound,abounded,abounds 0.500
abraham,abraham,abrahamic 0.500
abraham,abraham,abrahams 0.514
abraham,abrahamic,abrahams 0.500
abrahamsen,abrahamsen,abrahamsens 0.333
abridg,abridged,abridgement 0.778
abridg,abridged,abridges 0.786
abridg,abridged,abridging 0.750
abridg,abridged,abridgment 0.750
abridg,abridgement,abridges 0.812
abridg,abridgement,abridging 0.812
abridg,abridgement,abridgment 0.812
abridg,abridges,abridging 0.750
abridg,abridges,abridgment 0.750
abridg,abridging,abridgment 0.875
abrog,abrogated,abrogation 0.250
absent,absent,absented 0.036
absolut,absolut,absolute 0.857
absolut,absolut,absolutely 0.857
absolut,absolut,absoluter 0.857
absolut,absolut,absolutes 0.857
absolut,absolut,absolution 0.857
absolut,absolut,absolutism 0.857
absolut,absolut,absolutive 0.857
absolut,absolute,absolutely 0.863
absolut,absolute,absoluter 0.859
absolut,absolute,absolutes 0.859
absolut,absolute,absolution 0.859
absolut,absolute,absolutism 0.857
absolut,absolute,absolutive 0.857
absolut,absolutely,absoluter 0.857
absolut,absolutely,absolutes 0.857
absolut,absolutely,absolution 0.865
absolut,absolutely,absolutism 0.857
absolut,absolutely,absolutive 0.857
absolut,absoluter,absolutes 0.857
absolut,absoluter,absolution 0.857
absolut,absoluter,absolutism 0.857
absolut,absoluter,absolutive 0.857
absolut,absolutes,absolution 0.857
absolut,absolutes,absolutism 0.857
absolut,absolutes,absolutive 0.857
absolut,absolution,absolutism 0.857
absolut,absolution,absolutive 0.857
absolut,absolutism,absolutive 0.857
absolv,absolve,absolved 0.200
absorb,absorb,absorbable 0.875
absorb,absorb,absorbance 0.875
absorb,absorb,absorbed 0.875
absorb,absorb,absorbency 0.875
absorb,absorb,absorbent 0.875
absorb,absorb,absorber 0.875
absorb,absorb,absorbing 0.875
absorb,absorb,absorbs 0.875
absorb,absorbable,absorbance 0.875
absorb,absorbable,absorbed 0.875
absorb,absorbable,absorbency 0.875
absorb,absorbable,absorbent 0.875
absorb,absorbable,absorber 0.875
absorb,absorbable,absorbing 0.875
absorb,absorbable,absorbs 0.875
absorb,absorbance,absorbed 0.875
absorb,absorbance,absorbency 0.875
absorb,absorbance,absorbent 0.875
absorb,absorbance,absorber 0.875
absorb,absorbance,absorbing 0.875
absorb,absorbance,absorbs 0.875
absorb,absorbed,absorbency 0.875
absorb,absorbed,absorbent 0.875
absorb,absorbed,absorber 0.875
absorb,absorbed,absorbing 0.882
absorb,absorbed,absorbs 0.879
absorb,absorbency,absorbent 0.875
absorb,absorbency,absorber 0.875
absorb,absorbency,absorbing 0.875
absorb,absorbency,absorbs 0.875
absorb,absorbent,absorber 0.875
absorb,absorbent,absorbing 0.875
absorb,absorbent,absorbs 0.875
absorb,absorber,absorbing 0.875
absorb,absorber,absorbs 0.875
absorb,absorbing,absorbs 0.883
abstract,abstract,abstracted 0.750
abstract,abstract,abstraction 0.770
abstract,abstract,abstractions 0.756
abstract,abstract,abstracts 0.750
abstract,abstracted,abstraction 0.750
abstract,abstracted,abstractions 0.750
abstract,abstracted,abstracts 0.750
abstract,abstraction,abstractions 0.778
abstract,abstraction,abstracts 0.750
abstract,abstractions,abstracts 0.750
absurd,absurd,absurdity 0.100
abt,abt,abts 0.200
abugida,abugida,abugidas 0.500
abund,abundance,abundant 0.042
abus,abuse,abused 0.808
abus,abuse,abusers 0.804
abus,abuse,abuses 0.804
abus,abuse,abusing 0.800
abus,abuse,abusive 0.804
abus,abused,abusers 0.800
abus,abused,abuses 0.800
abus,abused,abusing 0.800
abus,abused,abusive 0.800
abus,abusers,abuses 0.800
abus,abusers,abusing 0.800
abus,abusers,abusive 0.800
abus,abuses,abusing 0.800
abus,abuses,abusive 0.800
abus,abusing,abusive 0.800
abut,abuts,abutting 0.333
academ,academe,academic 0.800
academ,academe,academical 0.800
academ,academe,academically 0.800
academ,academe,academicals 0.800
academ,academe,academics 0.800
academ,academic,academical 0.800
academ,academic,academically 0.801
academ,academic,academicals 0.800
academ,academic,academics 0.818
academ,academical,academically 0.800
academ,academical,academicals 0.800
academ,academical,academics 0.800
academ,academically,academicals 0.800
academ,academically,academics 0.804
academ,academicals,academics 0.800
academi,academies,academy 0.513
academi,academies,academys 0.500
academi,academy,academys 0.507
academician,academician,academicians 0.250
acc,acc,acce 0.500
acc,acc,acces 0.500
acc,acce,acces 0.500
acceler,accelerate,accelerated 0.857
acceler,accelerate,accelerates 0.871
acceler,accelerate,accelerating 0.857
acceler,accelerate,acceleration 0.874
acceler,accelerate,accelerations 0.889
acceler,accelerate,accelerator 0.857
acceler,accelerate,accelerators 0.857
acceler,accelerated,accelerates 0.857
acceler,accelerated,accelerating 0.857
acceler,accelerated,acceleration 0.865
acceler,accelerated,accelerations 0.857
acceler,accelerated,accelerator 0.868
acceler,accelerated,accelerators 0.868
acceler,accelerates,accelerating 0.857
acceler,accelerates,acceleration 0.867
acceler,accelerates,accelerations 0.898
acceler,accelerates,accelerator 0.857
acceler,accelerates,accelerators 0.857
acceler,accelerating,acceleration 0.867
acceler,accelerating,accelerations 0.857
acceler,accelerating,accelerator 0.875
acceler,accelerating,accelerators 0.875
acceler,acceleration,accelerations 0.878
acceler,acceleration,accelerator 0.857
acceler,acceleration,accelerators 0.857
acceler,accelerations,accelerator 0.857
acceler,accelerations,accelerators 0.857
acceler,accelerator,accelerators 0.886
accent,accent,accented 0.525
accent,accent,accents 0.500
accent,accented,accents 0.500
accentu,accentuate,accentuated 0.500
accentu,accentuate,accentuation 0.500
accentu,accentuated,accentuation 0.500
accept,accept,acceptable 0.809
accept,accept,acceptance 0.810
accept,accept,accepted 0.817
accept,accept,accepting 0.807
accept,accept,accepts 0.805
accept,acceptable,acceptance 0.807
accept,acceptable,accepted 0.806
accept,acceptable,accepting 0.800
accept,acceptable,accepts 0.806
accept,acceptance,accepted 0.815
accept,acceptance,accepting 0.804
accept,acceptance,accepts 0.805
accept,accepted,accepting 0.802
accept,accepted,accepts 0.803
accept,accepting,accepts 0.800
access,access,accessed 0.883
access,access,accesses 0.875
access,access,accessibility 0.880
access,access,accessible 0.884
access,access,accessing 0.878
access,access,accession 0.876
access,access,accessioned 0.875
access,access,accessions 0.875
access,accessed,accesses 0.875
access,accessed,accessibility 0.876
access,accessed,accessible 0.881
access,accessed,accessing 0.876
access,accessed,accession 0.876
access,accessed,accessioned 0.875
access,accessed,accessions 0.875
access,accesses,accessibility 0.875
access,accesses,accessible 0.875
access,accesses,accessing 0.875
access,accesses,accession 0.875
access,accesses,accessioned 0.875
access,accesses,accessions 0.875
access,accessibility,accessible 0.879
access,accessibility,accessing 0.875
access,accessibility,accession 0.875
access,accessibility,accessioned 0.875
access,accessibility,accessions 0.875
access,accessible,accessing 0.877
access,accessible,accession 0.875
access,accessible,accessioned 0.875
access,accessible,accessions 0.875
access,accessing,accession 0.879
access,accessing,accessioned 0.875
access,accessing,accessions 0.875
access,accession,accessioned 0.875
access,accession,accessions 0.875
access,accessioned,accessions 0.875
accid,accident,accidents 0.051
accident,accidental,accidentally 0.031
acclaim,acclaim,acclaimed 0.058
acclam,acclamation,acclamations 0.333
accommod,accommodate,accommodated 0.809
accommod,accommodate,accommodates 0.805
accommod,accommodate,accommodating 0.804
accommod,accommodate,accommodation 0.813
accommod,accommodate,accommodations 0.800
accommod,accommodated,accommodates 0.800
accommod,accommodated,accommodating 0.820
accommod,accommodated,accommodation 0.809
accommod,accommodated,accommodations 0.800
accommod,accommodates,accommodating 0.800
accommod,accommodates,accommodation 0.810
accommod,accommodates,accommodations 0.800
accommod,accommodating,accommodation 0.807
accommod,accommodating,accommodations 0.800
accommod,accommodation,accommodations 0.800
accompani,accompanied,accompanies 0.800
accompani,accompanied,accompaniment 0.805
accompani,accompanied,accompaniments 0.800
accompani,accompanied,accompany 0.809
accompani,accompanied,accompanying 0.802
accompani,accompanies,accompaniment 0.800
accompani,accompanies,accompaniments 0.800
accompani,accompanies,accompany 0.800
accompani,accompanies,accompanying 0.800
accompani,accompaniment,accompaniments 0.817
accompani,accompaniment,accompany 0.808
accompani,accompaniment,accompanying 0.812
accompani,accompaniments,accompany 0.800
accompani,accompaniments,accompanying 0.800
accompani,accompany,accompanying 0.811
accomplish,accomplish,accomplished 0.750
accomplish,accomplish,accomplishes 0.750
accomplish,accomplish,accomplishment 0.750
accomplish,accomplish,accomplishments 0.750
accomplish,accomplished,accomplishes 0.750
accomplish,accomplished,accomplishment 0.756
accomplish,accomplished,accomplishments 0.758
accomplish,accomplishes,accomplishment 0.750
accomplish,accomplishes,accomplishments 0.750
accomplish,accomplishment,accomplishments 0.757
accord,accord,accordance 0.800
accord,accord,accorded 0.800
accord,accord,accordence 0.800
accord,accord,according 0.803
accord,accord,accords 0.812
accord,accordance,accorded 0.800
accord,accordance,accordence 0.807
accord,accordance,according 0.802
accord,accordance,accords 0.800
accord,accorded,accordence 0.800
accord,accorded,according 0.800
accord,accorded,accords 0.800
accord,accordence,according 0.800
accord,accordence,accords 0.800
accord,according,accords 0.800
account,account,accountability 0.875
account,account,accountable 0.875
account,account,accountancy 0.876
account,account,accountant 0.875
account,account,accountants 0.877
account,account,accounted 0.875
account,account,accounting 0.878
account,account,accounts 0.886
account,accountability,accountable 0.881
account,accountability,accountancy 0.875
account,accountability,accountant 0.875
account,accountability,accountants 0.875
account,accountability,accounted 0.875
account,accountability,accounting 0.875
account,accountability,accounts 0.875
account,accountable,accountancy 0.875
account,accountable,accountant 0.875
account,accountable,accountants 0.875
account,accountable,accounted 0.875
account,accountable,accounting 0.875
account,accountable,accounts 0.877
account,accountancy,accountant 0.884
account,accountancy,accountants 0.900
account,accountancy,accounted 0.875
account,accountancy,accounting 0.883
account,accountancy,accounts 0.875
account,accountant,accountants 0.898
account,accountant,accounted 0.875
account,accountant,accounting 0.882
account,accountant,accounts 0.875
account,accountants,accounted 0.875
account,accountants,accounting 0.883
account,accountants,accounts 0.875
account,accounted,accounting 0.879
account,accounted,accounts 0.878
account,accounting,accounts 0.880
accredit,accreditation,accreditations 0.667
accredit,accreditation,accredited 0.720
accredit,accreditation,accrediting 0.692
accredit,accreditations,accredited 0.667
accredit,accreditations,accrediting 0.667
accredit,accredited,accrediting 0.697
accret,accrete,accreted 0.875
accret,accrete,accretes 0.750
