descriptions description
horses horse
isometry isometries
slingshot slingshots
asias asia
populations population
opiate opiates
companies company companys
collectibles collectible
softwares software
crash crashes
harbour harbours
james jamess
synagogue synagogues
provosts provost
lectures lecture
jams jam
vents vent
handless handle handles
physician physicians
flags flag
pubs pub
frost frosts
naomis naomi
le less les
olds old
plant plants
rises rise
bridget bridgets
fifty fifties
jirga jirgas
segovia segovias
project projects
premolar premolars
saxophonists saxophonist
transformer transformers
appeals appeal
step steps
forts fort
cable cables
wallabies wallaby
swords sword
cat cats
spellings spelling
rodeo rodeos
cranes crane
deliveries delivery
clavicle clavicles
garden gardens
trader traders
berrys berry berries
testis testes
curators curator
angers anger
montgomerys montgomery
rites rite
res re
textbooks textbook
ton tons
transfusion transfusions
collaboration collaborations
maestri maestro maestros
floridas florida
grebe grebes
sorrow sorrows
cancellations cancellation
optometrist optometrists
numerals numeral
conversations conversation
davis daviss
demographics demographic
occidentals occidental
contributions contribution
lawsuits lawsuit
ninja ninjas
pendulums pendulum
flashback flashbacks
approaches approach
diadems diadem
termite termites
cohans cohan
counsels counsel
whites white
atheist atheists
banners banner
lead leads
medusa medusas
fell fells
institutess institute institutes
backbones backbone
symmetry symmetries
spoonbill spoonbills
viewers viewer
counts count
fillets fillet
evolutionists evolutionist
kangaroos kangaroo
cloth cloths
colour colours
favors favor
saxes sax
storylines storyline
rehearsal rehearsals
municipalitys municipality municipalities
denominations denomination
bicycles bicycle
topics topic
courser coursers
stocktons stockton
polypeptides polypeptide
firings firing
solutionss solutions solution
weeklies weekly
attendances attendance
financing financings
attorneys attorney
jurist jurists
shepherd shepherds
fight fights
darwin darwins
appointee appointees
egret egrets
perfume perfumes
deputy deputies
components component
fives five
contingent contingents
tropic tropics
bart barts
legislator legislators
lyrics lyric
jew jews
predecessor predecessors
maryland marylands
catches catch
wavelengths wavelength
scientist scientists
nets net
tear tears
blankets blanket
thumb thumbs
stegosaur stegosaurs
eights eight
disorders disorder
scribe scribes
solo solos soli
metres metre
accusations accusation
marshal marshals
deportation deportations
adventure adventures
crayons crayon
electrodes electrode
visigoths visigoth
ys y ies
chefs chef
devotees devotee
hunts hunt
hispanics hispanic
himmlers himmler
tt tts
settings setting
flamingo flamingos
evolution evolutions
semifinalists semifinalist
liability liabilities
carnivores carnivore
bakeries bakery
member memberss members
novels novel
egypts egypt
hendrixs hendrix
misfortunes misfortune
pwrs pwr
altar altars
conrads conrad
viscounts viscount
bodys body bodies
failing failings
substance substances
font fonts
wagtails wagtail
nus nu nuss
bronzes bronze
disadvantage disadvantages
steeles steele
undersides underside
aerial aerials
butlers butler
dent dents
peters peterss peter
sky skys skies
singers singer
parapet parapets
sponsorship sponsorships
ligaments ligament
pictures picture
futures future
chute chutes
jacob jacobs
mickeys mickey
communitys communities community
recorder recorders
linguists linguist
limbs limb
invaders invader
episodes episode
car cars
greeks greek
wrestlers wrestler
lung lungs
cylinder cylinders
moscows moscow
put puts
jones joness
jrs jr
alabama alabamas
registers register
instrumentalists instrumentalist
nationalist nationalists
contestants contestant
n ns nss
fit fits
greats great
melchior melchiors
trunks trunk
pigeon pigeons
chancellor chancellors
rna rnas
posits posit
depots depot
cinema cinemas
divisions division
cornwall cornwalls
needless needles needle
identities identity
commission commissions
centimetre centimetres
relationships relationship
prelates prelate
monomers monomer
ax axs axes
loge loges
f vess fs ves
pits pit
boy boys
charm charms
tie ties
bleeder bleeders
ra ras
escarpment escarpments
cincinnatis cincinnati
vedas veda
veteran veterans
tomb tombs
retinas retina
nephews nephew
memory memories
followers follower
oviduct oviducts
quilt quilts
bakers baker
platos plato
queries query
poland polands
mexican mexicans
prepositions preposition
upset upsets
cleaners cleaner
eddies eddys eddy
removes remove
pinters pinter
kerns kern
mineral minerals
bells bell
shores shore
lampoons lampoon
castles castle
activities activity
reefs reevess reef reeves
profiles profile
tahitians tahitian
frescoes frescos fresco
normans norman
sultans sultan
sign signs
alliances alliance
formations formation
snps snp
xanthine xanthines
concerti concertos concerto
constructs construct
waiver waivers
canada canadas
metabolisms metabolism
invitation invitations
paints paint
universitys university universities
devil devils
duchy duchies
macedonians macedonian
friar friars
radiopharmaceutical radiopharmaceuticals
reign reigns
duct ducts
spaceflight spaceflights
radiograph radiographs
corinthian corinthians
obituary obituaries
accompaniment accompaniments
underground undergrounds
defectors defector
colonels colonel
whitneys whitney
user users
torontos toronto
library librarys libraries
artifacts artifact
scotts scott
treasures treasure
beam beams
charities charity
conservative conservatives
mile miles
intelligence intelligences
gypsys gypsies gypsy
exchanger exchangers
inches inch
nationals national
disclaimer disclaimers
knees knee
ends end
tour tours
playmate playmates
leaflets leaflet
wollstonecrafts wollstonecraft
cody codys
investigations investigation
ventricles ventricle
alveoli alveolus
races race
cipher ciphers
quinones quinone
fish fishs fishes
zombies zombie
environments environment
epic epics
institution institutions
pirate pirates
expedition expeditions
master masters
convictions conviction
lieder lied
device devices
affair affairs
pharmaceutical pharmaceuticals
preacher preachers
presleys presley
usage usages
troops troop
curbs curb
lemon lemons
encyclicals encyclical
montezumas montezuma
mikes mike
korea koreas
stunt stunts
hatches hatch hatchs
angels angel
violations violation
rogue rogues
dad dads
korean koreans
allegations allegation
hangs hang
finance finances
cockpit cockpits
francos franco
baseball baseballs
mar mars
weights weight
braun brauns
austria austrias
herod herods
journals journal
hours hour
square squares
burrows burrow
reaction reactions
peccaries peccary
tongues tongue
harrisburgs harrisburg
scavengers scavenger
geographer geographers
gang gangs
socialists socialist
showings showing
rami ramus
reindeers reindeer
cole coles
inhibitor inhibitors
drunks drunk
peron perons
protagonist protagonists
seats seat
marten martens
roachs roach
election elections
winter winters
items item
championship championships
constituents constituent
humanist humanists
parish parishes parishs
appointment appointments
formulae formula formulas
giants giant
phalaropes phalarope
lady ladys ladies
mangoes mangos mango
uncials uncial
friend friends
seeker seekers
documentary documentaries
invariant invariants
scorpion scorpions
indias india
factions faction
arthur arthurs
thunderstorms thunderstorm
profit profits
fool fools
georges george
play plays
asylums asylum
newspapers newspaper
module modules
fantasia fantasias
beethovens beethoven
billing billings
rector rectors
ditches ditch
aleutians aleutian
almoners almoner
heath heaths
diagrams diagram
reset resets
reflection reflections
pony ponies
cyst cysts
fay fays
inscriptions inscription
diplomat diplomats
uncles uncle
skills skill
discoveries discovery
loci locus
prince princes
goes goss go gosses gos
affiliation affiliations
calgary calgarys
pacifics pacific
sample samples
biscuit biscuits
stem stems
suffragan suffragans
sectional sectionals
swimmers swimmer
inn inns
billionaire billionaires
prefecture prefectures
evangelists evangelist
legislatures legislature
bedrooms bedroom
diesels diesel
roms rom roma
trail trails
operations operation
buchanans buchanan
outfalls outfall
dick dicks
substitution substitutions
