aa,aa,aaa 0.974
aaliyah,aaliyah,aaliyahs 0.500
aavid,aavida,aavide 0.500
abandon,abandon,abandoned 0.997
abandon,abandon,abandonment 0.988
abandon,abandoned,abandoning 0.997
abandon,abandoned,abandonment 0.994
abbey,abbey,abbeys 0.913
abbot,abbot,abbots 0.986
abbot,abbot,abbott 0.990
abbot,abbots,abbotts 0.967
abbrevy,abbreviated,abbreviations 0.984
abbrevy,abbreviation,abbreviations 0.983
abby,abby,abbys 0.917
abc,abc,abca 0.996
abc,abc,abce 0.996
abc,abc,abcs 0.993
abd,abd,abdus 0.984
abduc,abducted,abductees 0.986
abduc,abducted,abduction 0.992
abduc,abducted,abductors 0.987
abercromby,abercrombie,abercromby 0.955
abert,aberti,aberts 0.500
abl,abilities,ability 0.994
abl,abilities,able 0.996
abl,abilities,ably 0.998
abl,ability,able 0.995
aborigin,aboriginal,aborigines 0.939
about,about,aboutus 0.999
abrahams,abrahamsen,abrahamsens 0.667
abridg,abridged,abridgement 0.972
abridg,abridged,abridges 0.964
abridg,abridgement,abridging 0.938
abrog,abrogated,abrogation 0.750
abs,absence,absent 0.998
abs,absences,absenteeism 0.967
absolv,absolute,absolutely 0.997
absolv,absolute,absolutes 0.998
absolv,absolute,absolution 0.998
absolv,absolution,absolvat 0.967
absolv,absolution,absolve 0.975
absolv,absolvat,absolve 0.967
absorb,absorbed,absorbing 0.997
absorb,absorbs,absorption 0.994
abstract,abstract,abstraction 0.992
abstract,abstract,abstractions 0.995
abstract,abstraction,abstractions 0.978
absurd,absurd,absurdly 0.963
abut,abuts,abutting 0.667
abyss,abyss,abyssus 0.944
ac,ace,aceis 0.998
academ,academia,academic 0.999
academ,academia,academician 0.993
academ,academia,academicians 0.993
academ,academia,academics 0.998
academ,academic,academically 0.999
academ,academic,academicians 0.999
academ,academic,academics 0.996
academ,academically,academics 0.998
academ,academician,academicians 0.972
academy,academies,academy 0.993
academy,academy,academys 0.997
acc,accent,accented 0.995
acc,accuracy,accurate 0.996
acc,accuracy,accurately 0.999
acc,accurate,accurately 0.997
acceiv,accept,acceptance 0.998
acceiv,accept,accepted 0.998
acceiv,acceptance,accepted 0.997
acceiv,acceptance,accepting 0.997
acceiv,accepted,accepting 0.999
accel,accelerate,accelerates 0.986
accel,accelerating,accelerator 0.982
accel,accelerating,accelerators 0.982
accel,acceleration,accelerations 0.990
accel,accelerator,accelerators 0.986
access,access,accessed 0.997
access,access,accessibility 0.997
access,access,accessible 0.997
access,access,accessor 0.999
access,accessed,accessible 0.999
access,accessibility,accessible 0.999
access,accessible,accessing 0.999
accid,accident,accidental 0.996
accid,accident,accidentally 0.997
accid,accident,accidents 0.986
accid,accidental,accidentally 0.990
accommod,accommodate,accommodated 0.995
accommod,accommodate,accommodation 0.997
accommod,accommodated,accommodation 0.991
accompany,accompanied,accompany 0.998
accompany,accompaniment,accompanying 0.988
accord,accord,according 0.999
accord,accordance,according 0.999
accord,according,accordingly 0.999
accord,according,accordion 1.000
account,account,accounting 0.999
account,account,accounts 0.997
account,accountability,accountable 0.994
account,accountancy,accountant 0.991
account,accountancy,accountants 0.988
account,accountancy,accounting 0.996
account,accountants,accounting 0.996
account,accounting,accounts 0.999
accredit,accreditation,accredited 0.968
accredit,accreditation,accrediting 0.974
accredit,accredited,accrediting 0.970
accret,accrete,accreted 0.875
accret,accrete,accretion 0.917
accret,accreted,accreting 0.875
accret,accreted,accretion 0.917
