sizeClass,matches,covers,count
41,11,100% only matches stem,1
35,4,100% only matches stem,1
34,8,100% only matches stem,1
32,4,100% only matches stem,1
31,3,100% only matches stem,1
30,1,100% only matches stem,1
29,7,100% only matches stem,1
28,2,100% only matches stem,1
28,1,100% only matches stem,1
27,3,100% only matches stem,1
27,2,100% only matches stem,1
26,3,0.30% fully covered 0.70% matches stem,1
26,2,0.50% fully covered 0.50% matches stem,1
26,2,100% only matches stem,1
25,6,100% only matches stem,2
25,2,100% only matches stem,1
23,4,100% only matches stem,1
23,3,100% only matches stem,1
22,2,100% only matches stem,1
22,1,100% only matches stem,2
21,6,100% only matches stem,1
21,2,100% only matches stem,1
20,6,100% only matches stem,1
20,3,100% only matches stem,1
20,2,100% only matches stem,2
19,2,100% only matches stem,3
19,1,100% only matches stem,1
18,6,100% only matches stem,1
18,4,100% only matches stem,1
18,3,100% only matches stem,2
18,2,100% only matches stem,1
17,4,100% only matches stem,1
17,2,100% only matches stem,1
17,1,100% only matches stem,5
16,9,100% only matches stem,1
16,4,100% only matches stem,1
16,2,100% only matches stem,3
16,1,100% only matches stem,3
15,5,100% only matches stem,1
15,4,100% only matches stem,1
15,3,100% only matches stem,1
15,2,100% only matches stem,1
15,1,100% only matches stem,3
14,6,100% only matches stem,1
14,4,100% only matches stem,1
14,3,100% only matches stem,4
14,2,100% only matches stem,3
14,1,100% only matches stem,4
13,4,100% only matches stem,1
13,3,100% only matches stem,1
13,2,100% only matches stem,7
13,1,100% only matches stem,8
12,7,100% only matches stem,1
12,5,100% only matches stem,1
12,4,100% only matches stem,1
12,3,100% only matches stem,3
12,3,0.30% fully covered 0.70% matches stem,1
12,2,100% only matches stem,3
12,1,100% only matches stem,6
11,4,100% only matches stem,1
11,3,100% only matches stem,7
11,2,100% only matches stem,7
11,1,100% only matches stem,26
11,1,100% fully covered,1
10,4,100% only matches stem,1
10,3,100% only matches stem,3
10,3,0.30% fully covered 0.70% matches stem,1
10,2,100% only matches stem,9
10,1,100% only matches stem,25
10,1,100% fully covered,2
9,4,100% only matches stem,2
9,3,100% only matches stem,3
9,2,100% only matches stem,14
9,2,0.50% fully covered 0.50% matches stem,2
9,1,100% only matches stem,43
9,1,100% fully covered,5
8,3,100% only matches stem,11
8,2,100% only matches stem,23
8,2,0.50% fully covered 0.50% matches stem,1
8,2,100% fully covered,1
8,1,100% only matches stem,79
8,1,100% fully covered,8
7,4,100% only matches stem,5
7,3,100% only matches stem,5
7,2,100% only matches stem,20
7,2,0.50% fully covered 0.50% matches stem,7
7,1,100% only matches stem,113
7,1,100% fully covered,18
6,4,100% only matches stem,2
6,3,100% only matches stem,5
6,3,0.30% fully covered 0.70% matches stem,1
6,2,100% only matches stem,27
6,2,0.50% fully covered 0.50% matches stem,1
6,1,100% only matches stem,182
6,1,100% fully covered,42
5,3,100% only matches stem,8
5,2,100% only matches stem,46
5,2,0.50% fully covered 0.50% matches stem,7
5,2,100% fully covered,1
5,1,100% only matches stem,286
5,1,100% fully covered,59
4,3,100% only matches stem,8
4,2,100% only matches stem,55
4,2,0.50% fully covered 0.50% matches stem,18
4,1,100% only matches stem,412
4,1,100% fully covered,131
3,3,100% only matches stem,7
3,2,100% only matches stem,95
3,2,0.50% fully covered 0.50% matches stem,39
3,1,100% only matches stem,1120
3,1,100% fully covered,1033
2,2,100% only matches stem,55
2,2,0.50% fully covered 0.50% matches stem,19
2,1,100% fully covered,1330
2,1,100% only matches stem,681
