result results
gum gums
dollar dollars
generations generation
avocets avocet
discovery discoveries
counsels counsel
hatchlings hatchling
bike bikes
aryan aryans
hearing hearings
drugs drug
sheets sheet
purchases purchase
pianists pianist
nehru nehrus
trailhead trailheads
reflection reflections
ricardo ricardos
hope hopes
users user
coteries coterie
ts t
vi vis
lenses lens
puppy puppies
reptile reptiles
tour tours
interchange interchanges
octopuses octopus
constructions construction
dukes duke
filipino filipinos
neighbourhood neighbourhoods
genes gene
cone cones
skills skill
task tasks
patten pattens
lady ladys ladies
injury injuries
squire squires
drone drones
bulgarians bulgarian
talent talents
france frances
sound sounds
moors moor
parallel parallels
aesthetics aesthetic
advertisements advertisement
sticks stick
recruiter recruiters
nada nadas
review reviews
championships championship
court courts
howitzers howitzer
portals portal
tic tics
bee bees
occasion occasions
module modules
lips lip
becks beck
spring springs
timbres timbre
correction corrections
universals universal
horror horrors
zionist zionists
candidate candidates
physician physicians
porcupine porcupines
boxes box
slovak slovaks
pound pounds
conference conferences
coles cole
brewery breweries brewerys
victim victims
emirate emirates
chapels chapel
belgiums belgium
lands land
remark remarks
gate gates
kibbutz kibbutzim
consoles console
runways runway
carnivore carnivores
leo leos
dimples dimple
amniotes amniote
pipers piper
romanians romanian
billboard billboards
integral integrals
attractions attraction
heathland heathlands
costumes costume
term terms
lectin lectins
touchdowns touchdown
spencers spencer
setons seton
ears ear
islander islanders
turkeys turkey
caucuses caucus
george georges
relief reliefs
intersections intersection
plaintiff plaintiffs
grottos grotto
chaucer chaucers
gendarmes gendarme
missiles missile
finish finishes
responses response
performer performers
nicknames nickname
forest forests
conservatories conservatory
opinions opinion
agreements agreement
regimens regimen
acids acid
englands england
riders rider
baths bath
bat bats
griefs grief
mothers mother
coefficient coefficients
packages package
invaders invader
dvds dvd
webers weber
skull skulls
hayek hayeks
shortcoming shortcomings
fortifications fortification
oscars oscar
gilberts gilbert
stone stones
counties county countys
curry currys
achievements achievement
bicycles bicycle
battlefield battlefields
fascists fascist
werewolf werewolves
roadways roadway
mamas mama
regulars regular
leagues league
storm storms
arthurs arthur
hispanic hispanics
mark marks
frames frame
comet comets
conrad conrads
over overs
portages portage
identifiers identifier
relationship relationships
aquifers aquifer
articulations articulation
lust lusts
valis vali
christians christian
trespass trespasses
slams slam
wrapper wrappers
rhapsody rhapsodys
kiev kievs
florida floridas
date dates
ariadne ariadnes
cartels cartel
counters counter
weekdays weekday
cells cell
green greens
connecticut connecticuts
caesars caesar
dinosaur dinosaurs
allotropes allotrope
egrets egret
bobs bob
habitats habitat
verbs verb
climbers climber
lives life
booths booth
b bs
constantine constantines
specifications specification
print prints
paleontologist paleontologists
birminghams birmingham
hearts heart
hazard hazards
styrofoams styrofoam
clans clan
services service
imports import
herbert herberts
jussieu jussieus
ideals ideal
days day
large larges
sydneys sydney
tire tires
identity identities
repairs repair
lobules lobule
hoyas hoya
fbis fbi
jordans jordan
ramas rama
vines vine
spots spot
linebackers linebacker
melbournes melbourne
locals local
barbs barb
greeks greek
workers worker
coachbuilders coachbuilder
verses verse
kellys kelly
line lines
gb gbs
circuit circuits
tasmanias tasmania
soul souls
representation representations
ratios ratio
government governments
dams dam
occurrences occurrence
coffee coffees
molecule molecules
authority authorities authoritys
taffys taffy
potentials potential
screenplays screenplay
camps camp
kingdom kingdoms
catchers catcher
warship warships
jackson jacksons
carriages carriage
guest guests
caroms carom
denmarks denmark
comedian comedians
wilsons wilson
shin shins
johnny johnnys
tootle tootles tootless
ks k
monkey monkeys
islands island
creationism creationisms
rifle rifles
dummys dummies dummy
allegations allegation
shias shia
varieties variety
arguments argument
ossuary ossuarys ossuaries
khan khans
rep reps
core cores
liston listons
domes dome
yuan yuans
executive executives
parentheses parenthesis
stalin stalins
wounds wound
weis weiss weisss wei
radiograph radiographs
documentaries documentary
faa faas
peewees peewee
battalion battalions
uruguayans uruguayan
products product
tuck tucks
arches arch
lauders lauder
archer archers
opening openings
order orders
sons son
interventions intervention
projectiles projectile
prisoners prisoner
custer custers
joys joy
auditions audition
columns column
victory victories
propellant propellants
kurosawas kurosawa
dawson dawsons
academies academy academys
rebel rebels
register registers
studios studio
fades fade
enemy enemies enemys
night nights
washrooms washroom
fund funds
business businesses
zombies zombie
west wests
berlins berlin
paint paints
farmer farmers
publications publication
oil oils
taxi taxis
plains plain
sibyls sibyl
haircut haircuts
minority minorities
buddhist buddhists
selections selection
place places
plums plum
radiations radiation
roots root
lloyds lloyd
clinics clinic
ovary ovarys ovaries
copies copy
merlins merlin
receptors receptor
idols idol
firsts first
point points
surveys survey
family familys families
dominica dominicas
memphis memphiss
tt tts
hurls hurl
career careers
nucleus nuclei
wickets wicket
martyr martyrs
pairing pairings
southlands southland
clinks clink
velocity velocities
outbreak outbreaks
majorette majorettes
rachels rachel
plaid plaids
relation relations
incident incidents
shows show
exploit exploits
textile textiles
harmony harmonies
polyester polyesters
webb webbs
socialists socialist
darling darlings
senate senates
medication medications
announcement announcements
appearances appearance
tunnel tunnels
architect architects
residences residence
affiliates affiliate
chain chains
maoris maori
route routes
mike mikes
metres metre
botswana botswanas
guidelines guideline
textbooks textbook
premiers premier
center centers
bonds bond
programme programmes
aristotles aristotle
alveoli alveolus
study studies
chaser chasers
trunks trunk
runs run
oceans ocean
decoration decorations
concerns concern
nazis nazi
commands command
brokerage brokerages
test tests
art arts
proposals proposal
improvements improvement
development developments
streets street
petition petitions
issues issue
miners miner
amount amounts
funnel funnels
moral morals
westons weston
recipients recipient
landaus landau
finances finance
presentation presentations
duchesss duchess
politician politicians
georgetown georgetowns
representatives representative
rating ratings
colonies colonys colony
towns town
reports report
packer packers
violins violin
mp mps
affects affect
hart harts
horn horns
patent patents
ensembles ensemble
fissure fissures
deity deities
shoulders shoulder
hooks hook
funnies funny
catalyst catalysts
summer summers
certificates certificate
fays fay
leader leaders
journey journeys
crypts crypt
assaults assault
survivors survivor
pussycats pussycat
campaign campaigns
signatory signatories
panchayat panchayats
trumps trump
bart barts
stocks stock
abstraction abstractions
attendances attendance
tables table
laterals lateral
offices office
routers router
schulz schulzs
eigenvalues eigenvalue
romes rome
tomato tomatoes
retainer retainers
burst bursts
opposition oppositions
experiment experiments
armadillos armadillo
nerves nerve
seas sea
o os
norman normans
peters peter
practice practices
deals deal
clarinets clarinet
tetrapods tetrapod
valve valves
marriages marriage
destiny destinys
jack jacks
workshops workshop
symptoms symptom
trades trade
winner winners
mazers mazer
earths earth
rebellion rebellions
egypt egypts
communes commune
zealanders zealander
position positions
centesimi centesimo
graham grahams
festivities festivity
thos tho
harmonica harmonicas
blackfoot blackfeet
monster monsters
wichita wichitas
tourette tourettes
evangelist evangelists
menanders menander
moroccans moroccan
widgets widget
umpires umpire
harper harpers
sudbury sudburys
theorem theorems
funeral funerals
supports support
plastics plastic
dale dales
arizona arizonas
level levels
director directors
grant grants
colorados colorado
gators gator
arms arm
corp corps
drink drinks
westminster westminsters
fillets fillet
stops stop
nicaragua nicaraguas
student students
scheme schemes
aikens aiken
ohios ohio
intake intakes
tenement tenements
genius geniuses
tract tracts
homepage homepages
oystercatchers oystercatcher
editorial editorials
towers tower
owens owen
authors author
paperback paperbacks
hymns hymn
commuter commuters
voids void
remainders remainder
lagoons lagoon
umlauts umlaut
lombard lombards
photo photos
equestrians equestrian
duelist duelists
temperaments temperament
assailant assailants
shays shay
hoopoes hoopoe
trojans trojan
kittens kitten
diet diets
astrologers astrologer
mr mrs
rocks rock
escapement escapements
handlooms handloom
homicide homicides
acres acre
gastropod gastropods
spiegels spiegel
angers anger
cannonballs cannonball
royal royals
ref refs
serial serials
lace laces
clays clay
association associations
ra ras
champions champion
isle isles
amigo amigos
hands hand
c cs
tapes tape
current currents
dix dixs
bruce bruces
tendon tendons
jems jem
presleys presley
pennsylvanias pennsylvania
coolidges coolidge
nationalist nationalists
prizes prize
websites website
farm farms
stages stage
smarts smart
combine combines
