q,ndcg,num_rel_ret,R-prec,num_rel,P500,ndcg5,jmap,muap,num_ret,num_unjug_ret,ndcg1000,P30,ndcg10,p,P100,ndcg200,P10,ndcg30,P20,P5,ndcg100,ndcg20,P1000,P200,map,r,recip_rank,ndcg500
1,0.44126,2.00000,0.20000,5.00000,0.20000,0.33916,0.40000,2.00000,10.00000,8.00000,0.44126,0.20000,0.44126,0.20000,0.20000,0.44126,0.20000,0.44126,0.20000,0.20000,0.44126,0.44126,0.20000,0.20000,0.24444,0.40000,1.00000,0.44126
2,1.00000,3.00000,1.00000,3.00000,0.30000,1.00000,1.00000,3.33333,10.00000,7.00000,1.00000,0.30000,1.00000,0.30000,0.30000,1.00000,0.30000,1.00000,0.30000,0.60000,1.00000,1.00000,0.30000,0.30000,1.00000,1.00000,1.00000,1.00000
3,0.08747,1.00000,0.00000,6.00000,0.10000,0.00000,0.16667,1.66667,10.00000,9.00000,0.08747,0.10000,0.08747,0.10000,0.10000,0.08747,0.10000,0.08747,0.10000,0.00000,0.08747,0.08747,0.10000,0.10000,0.01667,0.16667,0.10000,0.08747
4,0.17414,2.00000,0.00000,12.00000,0.20000,0.30079,0.16667,0.83333,10.00000,8.00000,0.17414,0.20000,0.19519,0.20000,0.20000,0.17414,0.20000,0.17414,0.20000,0.40000,0.17414,0.17414,0.20000,0.20000,0.06111,0.16667,0.33333,0.17414
5,0.15959,1.00000,0.12500,8.00000,0.10000,0.21399,0.12500,1.25000,10.00000,9.00000,0.15959,0.10000,0.15959,0.10000,0.10000,0.15959,0.10000,0.15959,0.10000,0.20000,0.15959,0.15959,0.10000,0.10000,0.06250,0.12500,0.50000,0.15959
6,0.35015,2.00000,0.00000,3.00000,0.20000,0.20211,0.66667,3.33333,10.00000,8.00000,0.35015,0.20000,0.35015,0.20000,0.20000,0.35015,0.20000,0.35015,0.20000,0.20000,0.35015,0.35015,0.20000,0.20000,0.16667,0.66667,0.25000,0.35015
7,0.31867,6.00000,0.00000,28.00000,0.60000,0.61643,0.21429,0.35714,10.00000,4.00000,0.31867,0.60000,0.61411,0.60000,0.60000,0.31867,0.60000,0.31867,0.60000,0.60000,0.31867,0.39632,0.60000,0.60000,0.14494,0.21429,1.00000,0.31867
8,0.67139,2.00000,0.33333,3.00000,0.20000,0.67139,0.66667,3.33333,10.00000,8.00000,0.67139,0.20000,0.67139,0.20000,0.20000,0.67139,0.20000,0.67139,0.20000,0.40000,0.67139,0.67139,0.20000,0.20000,0.50000,0.66667,1.00000,0.67139
9,0.30248,3.00000,0.33333,9.00000,0.30000,0.31565,0.33333,1.11111,10.00000,7.00000,0.30248,0.30000,0.30248,0.30000,0.30000,0.30248,0.30000,0.30248,0.30000,0.40000,0.30248,0.30248,0.30000,0.30000,0.14815,0.33333,0.33333,0.30248
10,0.33619,7.00000,0.00000,35.00000,0.70000,0.72273,0.20000,0.28571,10.00000,3.00000,0.33619,0.70000,0.75064,0.70000,0.70000,0.33619,0.70000,0.37227,0.70000,0.60000,0.33619,0.48444,0.70000,0.70000,0.16422,0.20000,1.00000,0.33619
11,0.49495,7.00000,0.00000,19.00000,0.70000,0.83042,0.36842,0.52632,10.00000,3.00000,0.49495,0.70000,0.74212,0.70000,0.70000,0.49495,0.70000,0.49495,0.70000,0.80000,0.49495,0.49495,0.70000,0.70000,0.29637,0.36842,1.00000,0.49495
12,0.55315,2.00000,0.40000,5.00000,0.20000,0.55315,0.40000,2.00000,10.00000,8.00000,0.55315,0.20000,0.55315,0.20000,0.20000,0.55315,0.20000,0.55315,0.20000,0.40000,0.55315,0.55315,0.20000,0.20000,0.40000,0.40000,1.00000,0.55315
13,0.33819,2.00000,0.00000,11.00000,0.20000,0.55315,0.18182,0.90909,10.00000,8.00000,0.33819,0.20000,0.35895,0.20000,0.20000,0.33819,0.20000,0.33819,0.20000,0.40000,0.33819,0.33819,0.20000,0.20000,0.18182,0.18182,1.00000,0.33819
