wc,vc
1,1
2,2
3,3
4,4
5,5
6,6
7,7
8,8
9,9
10,10
11,11
12,12
13,13
16,14
17,15
18,16
23,17
27,18
32,19
37,20
39,21
41,22
42,23
43,24
44,25
49,26
50,27
51,28
52,29
53,30
54,31
56,32
57,33
58,34
60,35
61,36
62,37
63,38
64,39
65,40
67,41
68,42
69,43
71,44
72,45
74,46
75,47
76,48
78,49
79,50
80,51
81,52
82,53
83,54
85,55
86,56
91,57
93,58
94,59
95,60
96,61
97,62
101,63
106,64
109,65
110,66
111,67
112,68
113,69
114,70
115,71
116,72
117,73
118,74
119,75
120,76
121,77
123,78
124,79
125,80
126,81
127,82
128,83
129,84
130,85
131,86
132,87
135,88
136,89
137,90
138,91
141,92
142,93
143,94
144,95
145,96
146,97
148,98
154,99
155,100
156,101
157,102
158,103
159,104
160,105
162,106
163,107
164,108
165,109
167,110
169,111
170,112
171,113
173,114
175,115
178,116
180,117
183,118
184,119
185,120
186,121
188,122
190,123
191,124
192,125
194,126
195,127
196,128
198,129
199,130
200,131
202,132
203,133
204,134
205,135
206,136
208,137
209,138
210,139
211,140
213,141
214,142
217,143
219,144
220,145
222,146
225,147
226,148
232,149
233,150
234,151
235,152
236,153
237,154
240,155
243,156
254,157
256,158
257,159
263,160
264,161
265,162
266,163
267,164
268,165
269,166
270,167
271,168
274,169
275,170
278,171
279,172
280,173
281,174
283,175
284,176
285,177
286,178
287,179
288,180
289,181
291,182
292,183
294,184
296,185
297,186
298,187
299,188
302,189
303,190
304,191
306,192
307,193
308,194
309,195
310,196
311,197
312,198
313,199
314,200
316,201
317,202
318,203
320,204
323,205
324,206
325,207
326,208
327,209
328,210
329,211
330,212
331,213
333,214
334,215
335,216
336,217
337,218
338,219
339,220
340,221
341,222
342,223
343,224
344,225
345,226
350,227
352,228
353,229
354,230
355,231
358,232
359,233
363,234
375,235
381,236
384,237
387,238
398,239
402,240
403,241
404,242
405,243
406,244
407,245
408,246
409,247
410,248
411,249
412,250
413,251
414,252
415,253
416,254
417,255
418,256
420,257
421,258
422,259
423,260
424,261
426,262
429,263
430,264
432,265
433,266
434,267
435,268
436,269
437,270
438,271
439,272
442,273
443,274
444,275
446,276
450,277
451,278
452,279
454,280
455,281
457,282
459,283
463,284
464,285
466,286
467,287
469,288
472,289
473,290
474,291
475,292
476,293
477,294
479,295
482,296
483,297
486,298
487,299
488,300
490,301
491,302
492,303
493,304
494,305
497,306
498,307
499,308
533,309
534,310
535,311
536,312
537,313
539,314
540,315
541,316
542,317
543,318
544,319
545,320
546,321
547,322
548,323
549,324
550,325
551,326
554,327
557,328
558,329
561,330
562,331
564,332
565,333
567,334
568,335
569,336
570,337
571,338
573,339
576,340
578,341
579,342
580,343
586,344
587,345
588,346
589,347
591,348
592,349
603,350
604,351
610,352
611,353
612,354
613,355
614,356
616,357
619,358
621,359
622,360
626,361
628,362
630,363
632,364
637,365
639,366
642,367
644,368
650,369
655,370
663,371
664,372
665,373
669,374
670,375
672,376
673,377
674,378
675,379
676,380
678,381
680,382
682,383
683,384
685,385
686,386
687,387
688,388
693,389
696,390
697,391
699,392
700,393
702,394
703,395
704,396
705,397
706,398
708,399
711,400
712,401
713,402
715,403
717,404
718,405
721,406
725,407
727,408
728,409
730,410
731,411
733,412
735,413
736,414
738,415
741,416
743,417
745,418
751,419
752,420
755,421
757,422
759,423
761,424
764,425
766,426
768,427
771,428
774,429
778,430
786,431
788,432
790,433
792,434
794,435
796,436
798,437
799,438
800,439
802,440
804,441
806,442
808,443
810,444
812,445
814,446
816,447
820,448
822,449
824,450
826,451
828,452
831,453
832,454
834,455
836,456
838,457
840,458
842,459
844,460
847,461
849,462
851,463
852,464
854,465
855,466
857,467
859,468
861,469
863,470
864,471
868,472
870,473
875,474
888,475
889,476
892,477
893,478
894,479
897,480
927,481
928,482
929,483
935,484
936,485
937,486
938,487
943,488
950,489
951,490
952,491
954,492
990,493
991,494
1026,495
1027,496
1028,497
1029,498
1032,499
1034,500
1035,501
1038,502
1039,503
1040,504
1041,505
1042,506
1045,507
1046,508
1047,509
1048,510
1049,511
1050,512
1051,513
1054,514
1055,515
1058,516
1059,517
1060,518
1063,519
1066,520
1068,521
1069,522
1072,523
1073,524
1074,525
1076,526
1079,527
1080,528
1081,529
1082,530
1084,531
1085,532
1086,533
1092,534
1093,535
1095,536
1096,537
1101,538
1102,539
1103,540
1104,541
1108,542
1110,543
1111,544
1112,545
1113,546
1115,547
1119,548
1120,549
1121,550
