old_size,old_sizeh,new_size,new_sizeh,dif,idx
11351,11.08 KB,28967,28.29 KB,17616,0
29308,28.62 KB,91496,89.35 KB,62188,1
22957,22.42 KB,46166,45.08 KB,23209,2
14804,14.46 KB,63079,61.6 KB,48275,3
29256,28.57 KB,82220,80.29 KB,52964,4
11228,10.96 KB,30479,29.76 KB,19251,5
13402,13.09 KB,25737,25.13 KB,12335,6
19754,19.29 KB,47455,46.34 KB,27701,7
10391,10.15 KB,34651,33.84 KB,24260,8
24426,23.85 KB,47681,46.56 KB,23255,9
20746,20.26 KB,41799,40.82 KB,21053,10
12868,12.57 KB,75162,73.4 KB,62294,11
15809,15.44 KB,45081,44.02 KB,29272,12
14807,14.46 KB,50686,49.5 KB,35879,13
9033,8.82 KB,22542,22.01 KB,13509,14
11109,10.85 KB,43248,42.23 KB,32139,15
54519,53.24 KB,320103,312.6 KB,265584,16
15928,15.55 KB,31207,30.48 KB,15279,17
14075,13.75 KB,40682,39.73 KB,26607,18
31247,30.51 KB,70166,68.52 KB,38919,19
63192,61.71 KB,-1,-1,-63192,20
13650,13.33 KB,29748,29.05 KB,16098,21
12017,11.74 KB,32221,31.47 KB,20204,22
12071,11.79 KB,32556,31.79 KB,20485,23
10561,10.31 KB,26365,25.75 KB,15804,24
32173,31.42 KB,40111,39.17 KB,7938,25
38718,37.81 KB,63990,62.49 KB,25272,26
20504,20.02 KB,64336,62.83 KB,43832,27
17146,16.74 KB,31971,31.22 KB,14825,28
19987,19.52 KB,42399,41.41 KB,22412,29
16597,16.21 KB,36859,36 KB,20262,30
31089,30.36 KB,91563,89.42 KB,60474,31
12622,12.33 KB,-1,-1,-12622,32
14984,14.63 KB,87681,85.63 KB,72697,33
18842,18.4 KB,37033,36.17 KB,18191,34
15238,14.88 KB,32563,31.8 KB,17325,35
14895,14.55 KB,79941,78.07 KB,65046,36
64038,62.54 KB,120347,117.53 KB,56309,37
22107,21.59 KB,52276,51.05 KB,30169,38
25345,24.75 KB,49910,48.74 KB,24565,39
10426,10.18 KB,32204,31.45 KB,21778,40
14889,14.54 KB,33383,32.6 KB,18494,41
